YEAR,MONTH,DAY,STID,ATOT,WSMX,WSMN,WSPD
2014,10,25,HINT,17.08,14.72,0.87,9.05
2014,10,26,HINT,16.87,32.19,10.44,19.61
2014,10,27,HINT,13.43,25.43,5.5,14.68
2014,10,28,HINT,13.19,23.38,0,9.6
2014,10,29,HINT,17.09,13.9,0.01,6.95
2014,10,30,HINT,16.34,20.92,1.63,9.62
2014,10,31,HINT,16.62,21.54,1.79,11.73
2014,11,1,HINT,14.52,24.07,2.34,14.29
2014,11,2,HINT,11.16,33.51,16.14,25.16
2014,11,3,HINT,6.21,29.39,4.64,19.33
2014,11,4,HINT,3.9,21.05,0.13,8.81
2014,11,5,HINT,10.94,12.41,0,4.91
2014,11,6,HINT,-996,17.94,2.07,8.33
2014,11,7,HINT,15.38,31.03,3.61,15.49
2014,11,8,HINT,15.09,26.51,2.29,12.9
2014,11,9,HINT,15.21,23.24,6.88,14.51
2014,11,10,HINT,15.04,31.5,9.71,21.5
2014,11,11,HINT,15.04,29.68,8.49,18.94
2014,11,12,HINT,6.93,24.49,12.52,17.83
2014,11,13,HINT,12.36,19.51,0.02,10.5
2014,11,14,HINT,8.94,13.9,0,6.03
2014,11,15,HINT,12.39,28.48,2.43,13.1
2014,11,16,HINT,3.87,25.1,3.45,14.15
2014,11,17,HINT,14.8,15.41,3.81,8.7
2014,11,18,HINT,14.45,17.27,1.7,11.14
2014,11,19,HINT,13.87,17.72,1.21,8.16
2014,11,20,HINT,13.25,13.2,1.47,7.47
2014,11,21,HINT,4.96,15.8,0.26,6.58
2014,11,22,HINT,1.25,23.42,5.16,14.04
2014,11,23,HINT,9.82,31.52,7.11,15.75
2014,11,24,HINT,13.37,20.74,0.01,8.24
2014,11,25,HINT,13.42,16.26,0.63,8.24
2014,11,26,HINT,-996,19.75,2.65,11.03
2014,11,27,HINT,13.07,21.72,0.25,9.75
2014,11,28,HINT,12.67,23.33,7.47,17.52
2014,11,29,HINT,13.24,28.83,16.25,22.09
2014,11,30,HINT,12.52,29.28,3.46,19.37
2014,12,1,HINT,9.26,26.37,0.2,15.88
2014,12,2,HINT,10.72,20.27,1.12,11.09
2014,12,3,HINT,2.06,16.74,0.57,9.11
2014,12,4,HINT,2.32,7.77,0.26,3.86
2014,12,5,HINT,2.04,15.99,0,8.53
2014,12,6,HINT,2.48,11.9,0.78,7.05
