"YEAR","MONTH","DAY","STID","ATOT","WSMX","WSMN","WSPD"
2015,10,3,TISH,18.43,12.65,3.00,6.92
2015,10,4,TISH,19.21,11.92,2.13,6.43
2015,10,5,TISH,11.12,12.38,3.22,7.20
2015,10,6,TISH,16.33,11.36,1.48,5.31
2015,10,7,TISH,16.38,10.09,1.11,5.36
2015,10,8,TISH,16.26,8.31,0.95,3.86
2015,10,9,TISH,5.62,22.82,0.00,7.93
2015,10,10,TISH,18.90,10.20,0.00,3.49
2015,10,11,TISH,18.57,19.44,0.00,8.16
2015,10,12,TISH,18.25,23.29,0.29,8.93
2015,10,13,TISH,19.52,9.74,0.02,4.24
2015,10,14,TISH,19.25,13.56,0.00,4.83
2015,10,15,TISH,18.52,17.74,0.00,6.38
2015,10,16,TISH,10.45,20.07,4.37,12.57
2015,10,17,TISH,14.75,11.45,2.33,6.12
2015,10,18,TISH,18.15,15.94,0.70,5.77
2015,10,19,TISH,-996.00,15.92,2.58,7.68
2015,10,20,TISH,17.61,16.82,1.06,7.23
2015,10,21,TISH,15.22,13.69,0.62,6.90
2015,10,22,TISH,6.49,19.15,1.97,8.65
2015,10,23,TISH,6.19,17.38,0.92,6.50
2015,10,24,TISH,3.24,17.96,0.44,10.73
2015,10,25,TISH,11.33,21.12,5.15,12.20
2015,10,26,TISH,12.86,12.72,3.52,7.90
2015,10,27,TISH,14.56,8.91,0.00,3.66
2015,10,28,TISH,15.56,24.47,0.34,8.43
2015,10,29,TISH,16.59,11.19,0.00,5.16
2015,10,30,TISH,1.35,18.97,2.17,8.80
2015,10,31,TISH,3.86,12.29,0.00,5.79
2015,11,1,TISH,7.27,10.01,0.00,3.89
2015,11,2,TISH,12.39,10.94,0.00,4.70
2015,11,3,TISH,7.12,13.17,3.21,8.31
2015,11,4,TISH,4.07,15.22,5.71,9.77
2015,11,5,TISH,2.08,19.60,0.00,8.79
2015,11,6,TISH,12.94,13.58,2.37,7.48
2015,11,7,TISH,14.72,18.54,2.77,9.83
2015,11,8,TISH,15.25,9.41,1.61,5.46
2015,11,9,TISH,13.77,11.32,1.15,5.22
2015,11,10,TISH,11.85,19.77,2.03,10.11
2015,11,11,TISH,-996.00,24.47,8.01,15.31
2015,11,12,TISH,15.24,14.48,2.26,7.06
